threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.1,0.8034682080924855,0.7241601546765488,0.980368633438761,0.8330089889722917,0.37343221725378994,5745,3424,180,8989,46
0.15,0.8311157159995638,0.7589559877175026,0.9704438870105792,0.8517685349160006,0.3082124550114516,6343,2826,271,8898,46
0.2,0.8499291089540845,0.786039047873763,0.9616097720580216,0.8650053958599039,0.26175155414985274,6769,2400,352,8817,46
0.25,0.8615443341694842,0.806887613404925,0.9505943941542153,0.87286565520004,0.22750572581524703,7083,2086,453,8716,46
0.3,0.8700512596793544,0.8250622724659896,0.9392518268077217,0.8784617738562758,0.199149307449013,7343,1826,557,8612,46
0.35,0.8757770749263823,0.8401619113436667,0.9281273857563529,0.8819566794486475,0.17657323590358817,7550,1619,659,8510,46
0.4,0.8803031955502236,0.8561797752808988,0.9141673028683608,0.8842238514689593,0.15356091176791362,7761,1408,787,8382,46
0.45,0.881393827025848,0.8672547784078976,0.9006434725706184,0.8836338344657857,0.13785581851892245,7905,1264,911,8258,46
0.5,0.883138837386847,0.8796196239464016,0.8877740211582507,0.8836780111816751,0.12149634638455666,8055,1114,1029,8140,46
0.55,0.8829752426655033,0.8920397454504857,0.8714145490238848,0.881606532053404,0.10546406369287818,8202,967,1179,7990,46
0.6,0.8812847638782856,0.9032295271049596,0.854073508561457,0.8779640114356186,0.09150398080488603,8330,839,1338,7831,46
0.65,0.8781219325989748,0.9142174432497013,0.8345512051477806,0.8725697018074007,0.07830733994983095,8451,718,1517,7652,46
0.7,0.8721779910568219,0.9236499068901304,0.8114298178645436,0.8639108221086855,0.06707383575089977,8554,615,1729,7440,46
0.75,0.8636165339731705,0.9332120582120582,0.7832915257934344,0.8517047139045361,0.056058457847093464,8655,514,1987,7182,46
0.8,0.8494928563638346,0.944021061382846,0.7430472243428945,0.8315635298425486,0.044061511615225216,8765,404,2356,6813,46
0.85,0.8298614898025957,0.9554283993374492,0.6920056712836733,0.8026565464895635,0.03228269167848184,8873,296,2824,6345,46
0.9,0.7969244192387392,0.9680247550283652,0.614134583924092,0.7515014013078873,0.02028574544661359,8983,186,3538,5631,46
0.95,0.730504962373214,0.9822039698836413,0.4695168502562984,0.6353305785123967,0.008506925509870214,9091,78,4864,4305,46
